,vehicleid,status,rptdatetime,velocity,direction,call_id,geom,marvlis_bayes_id,lat,lon
81,55,ENROUTE,2012-09-07 00:02:54,24.0,87.0,122510001.0,0101000020E610000031CEDF84429E5EC08E1EBFB7E9E34240,13706921,37.78057,-122.47281
82,54,AT SCENE,2012-09-07 00:02:54,5.0,22.0,122500374.0,0101000020E61000005709168733975EC01D774A07EBE74240,13706922,37.81186,-122.36252
83,87,TRANSPRT,2012-09-07 00:02:58,0.0,54.0,122500372.0,0101000020E6100000D6FF39CC979B5EC053E8BCC62EE54240,13706923,37.79049,-122.43114
84,77,AT SCENE,2012-09-07 00:03:03,0.0,94.0,122500375.0,0101000020E61000007AE40F069E9D5EC0ACA8C1340CE34240,13706924,37.77381,-122.46277
85,77,AT SCENE,2012-09-07 00:03:03,0.0,68.0,122500375.0,0101000020E6100000689604A8A99D5EC0D7A3703D0AE34240,13706925,37.77375,-122.46348
86,87,AT SCENE,2012-09-07 00:03:03,0.0,54.0,122500372.0,0101000020E6100000D6FF39CC979B5EC053E8BCC62EE54240,13706926,37.79049,-122.43114
87,77,AT SCENE,2012-09-07 00:03:03,2.0,82.0,122500375.0,0101000020E6100000BDA94885B19D5EC034BF9A0304E34240,13706927,37.77356,-122.46396
88,E14,ENROUTE,2012-09-07 00:03:08,25.0,87.0,122510001.0,0101000020E610000014967840D99E5EC0A3772AE09EE34240,13706928,37.778286,-122.48201
89,E14,ENROUTE,2012-09-07 00:03:08,25.0,58.0,122510001.0,0101000020E61000004E4354E1CF9E5EC0D7F84CF6CFE34240,13706929,37.779784,-122.481438
90,E14,ENROUTE,2012-09-07 00:03:08,28.0,86.0,122510001.0,0101000020E61000001689096AF89E5EC0D4635B069CE34240,13706930,37.778199,-122.483912
91,54,AT SCENE,2012-09-07 00:03:08,41.0,39.0,122500374.0,0101000020E610000002D9EBDD1F975EC0397F130A11E84240,13706931,37.81302,-122.36132
92,E14,ENROUTE,2012-09-07 00:03:08,13.0,87.0,122510001.0,0101000020E6100000EEE87FB9169F5EC04B1FBAA0BEE34240,13706932,37.779255,-122.485762
93,E14,ENROUTE,2012-09-07 00:03:08,19.0,79.0,122510001.0,0101000020E610000072FBE593159F5EC04BB1A371A8E34240,13706933,37.778578,-122.485692
94,77,AT SCENE,2012-09-07 00:03:09,0.0,94.0,122500375.0,0101000020E61000007AE40F069E9D5EC0ACA8C1340CE34240,13706934,37.77381,-122.46277
95,55,ENROUTE,2012-09-07 00:03:09,32.0,87.0,122510001.0,0101000020E6100000035B25581C9E5EC080D4264EEEE34240,13706935,37.78071,-122.47048
96,RC2,ENROUTE,2012-09-07 00:03:13,11.0,76.0,122500375.0,0101000020E6100000560E2DB29D9D5EC0F3C81F0C3CE34240,13706936,37.77527,-122.46275
97,54,AT SCENE,2012-09-07 00:03:18,45.0,69.0,122500374.0,0101000020E61000002254A9D903975EC0F12900C633E84240,13706937,37.81408,-122.35961
98,E48,ON RADIO,2012-09-07 00:03:19,13.0,71.0,,0101000020E6100000AF05BD3786945EC0FCC3961E4DE94240,13706938,37.822666,-122.320692
99,B03,AT SCENE,2012-09-07 00:03:20,0.0,60.0,122500374.0,0101000020E610000085251E5036975EC04030478FDFE74240,13706939,37.81151,-122.36269
100,93,AT SCENE,2012-09-07 00:03:24,0.0,66.0,122500374.0,0101000020E610000071E6577380945EC0533F6F2A52E94240,13706940,37.82282,-122.32034
101,54,AT SCENE,2012-09-07 00:03:28,57.0,68.0,122500374.0,0101000020E6100000AD342905DD965EC0EA3E00A94DE84240,13706941,37.81487,-122.35724
102,55,ENROUTE,2012-09-07 00:03:34,20.0,77.0,122510001.0,0101000020E61000001288D7F50B9E5EC06BD44334BAE34240,13706942,37.77912,-122.46948
103,55,AT SCENE,2012-09-07 00:03:35,0.0,86.0,122510001.0,0101000020E6100000999EB0C4039E5EC0AB3E575BB1E34240,13706943,37.77885,-122.46898
104,55,AT SCENE,2012-09-07 00:03:35,20.0,77.0,122510001.0,0101000020E61000001288D7F50B9E5EC06BD44334BAE34240,13706944,37.77912,-122.46948
105,RC1,ENROUTE,2012-09-07 00:03:38,4.0,73.0,122500374.0,0101000020E610000085251E5036975EC0642310AFEBE74240,13706945,37.81188,-122.36269
106,54,AT SCENE,2012-09-07 00:03:38,60.0,69.0,122500374.0,0101000020E61000009430D3F6AF965EC08D5DA27A6BE84240,13706946,37.81578,-122.35449
107,T01,AT SCENE,2012-09-07 00:03:39,0.0,0.0,122500376.0,0101000020E610000054707841449A5EC0751F80D426E44240,13706947,37.782435,-122.410416
108,77,AT SCENE,2012-09-07 00:03:43,0.0,68.0,122500375.0,0101000020E6100000689604A8A99D5EC0D7A3703D0AE34240,13706948,37.77375,-122.46348
109,RC2,ENROUTE,2012-09-07 00:03:43,7.0,85.0,122500375.0,0101000020E61000000F62670A9D9D5EC0EC2FBB270FE34240,13706949,37.7739,-122.46271
110,E01,AT SCENE,2012-09-07 00:03:44,0.0,0.0,122500376.0,0101000020E610000054707841449A5EC0751F80D426E44240,13706950,37.782435,-122.410416
111,E39,ON RADIO,2012-09-07 00:03:44,0.0,0.0,,0101000020E6100000284701A2609D5EC0EB19C231CBDE4240,13706951,37.740576,-122.459023
112,54,AT SCENE,2012-09-07 00:03:48,60.0,69.0,122500374.0,0101000020E610000046EBA86A82965EC0545227A089E84240,13706952,37.8167,-122.35171
113,B03,AT SCENE,2012-09-07 00:03:48,42.0,48.0,122500374.0,0101000020E610000009FEB7921D975EC06B9F8EC70CE84240,13706953,37.81289,-122.36118
114,E48,ON RADIO,2012-09-07 00:03:49,0.0,9.0,,0101000020E6100000C30C8D2782945EC0884CF91054E94240,13706954,37.822878,-122.320444
115,RC2,AT SCENE,2012-09-07 00:03:54,0.0,62.0,122500375.0,0101000020E6100000884B8E3BA59D5EC01E5036E50AE34240,13706955,37.77377,-122.46321
116,RC2,AT SCENE,2012-09-07 00:03:54,7.0,85.0,122500375.0,0101000020E61000000F62670A9D9D5EC0EC2FBB270FE34240,13706956,37.7739,-122.46271
117,54,AT SCENE,2012-09-07 00:03:58,62.0,69.0,122500374.0,0101000020E610000023A12DE752965EC08DEE2076A6E84240,13706957,37.81758,-122.34881
118,B03,AT SCENE,2012-09-07 00:03:58,48.0,69.0,122500374.0,0101000020E6100000BBD573D2FB965EC0878A71FE26E84240,13706958,37.81369,-122.35912
